[2025-12-25 08:01:50,424: INFO/MainProcess] Scheduler: Sending due task fine-tune-solana-daily (celery_tasks.fine_tune_coin)
[2025-12-25 08:01:50,427: INFO/MainProcess] Scheduler: Sending due task fine-tune-cardano-daily (celery_tasks.fine_tune_coin)
[2025-12-25 09:10:52,877: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 10:10:21,360: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 11:22:25,894: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 12:37:30,359: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 12:37:30,364: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 12:37:30,366: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 13:50:11,325: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 14:47:38,476: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 15:58:45,843: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 16:14:54,860: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 16:15:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 17:15:40,346: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 18:17:22,184: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
